date,classification,Closed PnL,Size USD
2024-05-10,Greed,155.86924032432432,605605.74
2024-05-11,Neutral,67.8475928,200627.23
2024-05-12,Greed,156.96078615789474,1256750.79
2024-06-01,Greed,6.16280290909091,298521.4
2024-06-02,Greed,-0.19817638511029412,8047153.41
2024-06-03,Greed,83.10762364634145,327218.02
2024-06-04,Greed,14.770945874999999,68223.67
2024-06-05,Extreme Greed,107.62115333333333,206016.43
2024-06-06,Extreme Greed,1.1716802863247862,137557.76
2024-06-07,Extreme Greed,4.53634075,2490.17
2024-06-08,Greed,2.4982995140186914,61478.38
2024-06-09,Extreme Greed,-26.306113452380952,39047.1
2024-06-10,Greed,5.9312308636363635,300130.56
2024-06-11,Greed,187.85581533333334,123906.9
2024-06-12,Greed,-229.83782604218362,3471019.22
2024-07-01,Neutral,-8.615270463917525,1048850.06
2024-07-02,Neutral,16.082808,6758.73
2024-07-04,Fear,0.0,49988.14
2024-07-05,Fear,49.08542738888889,108717.58
2024-07-06,Fear,20.23288049090909,1098588.76
2024-07-07,Fear,6.1428942,498.75
2024-07-08,Fear,5.720886515151515,2492.77
2024-07-10,Fear,0.0,219984.65
2024-07-11,Fear,39.764187044247784,111335.3
2024-07-12,Fear,282.5864442993421,451733.42
2024-08-01,Neutral,-2.1083940546875,1522452.43
2024-08-02,Greed,77.07560240000001,26051.12
2024-08-03,Fear,63.7594960597015,183583.18
2024-08-04,Fear,40.614223333333335,211940.64
2024-08-05,Fear,0.12044307692307693,65973.57
2024-08-06,Extreme Fear,4.453063413793104,97351.88
2024-08-07,Fear,0.0,497.64
2024-08-08,Extreme Fear,-4.5235796666666666,16299.35
2024-08-09,Neutral,0.0,0.11
2024-08-10,Fear,149.90407327777777,434584.13
2024-08-11,Fear,-1.6516292564102582,270700.44
2024-08-12,Fear,38.014127228571425,932939.72
2024-09-01,Fear,-11.804998042857143,870051.97
2024-09-03,Fear,85.03847541880343,658178.75
2024-09-04,Fear,0.0,57063.840000000004
2024-09-05,Fear,40.985566285714285,221966.12
2024-09-06,Extreme Fear,0.0,22410.22
2024-09-07,Extreme Fear,43.265627466666665,2736.45
2024-09-08,Fear,125.56993941666666,503204.86
2024-09-09,Fear,0.0,4014.4300000000003
2024-09-10,Fear,28.290194285714286,220399.93
2024-09-11,Fear,1.196615581395349,193384.41
2024-09-12,Fear,11.708659881261596,983949.68
2024-10-01,Neutral,-7.860576901554404,2057479.48
2024-10-03,Fear,59.117314285714286,219973.85
2024-10-04,Fear,127.01081497560976,351735.97
2024-10-05,Neutral,95.53371340909092,156882.0
2024-10-06,Neutral,0.589939716981132,46587.93
2024-10-07,Neutral,213.88812333928573,687900.21
2024-10-08,Neutral,0.0,11339.29
2024-10-09,Neutral,-73.24321966666666,2547.28
2024-10-10,Fear,0.0,300024.33999999997
2024-10-11,Fear,5.728984589595376,413636.7
2024-10-12,Neutral,24.640206911654136,3150424.08
2024-11-01,Extreme Greed,-7.813785761904761,305314.1
2024-11-02,Greed,28.924799294117648,212311.82
2024-11-03,Greed,85.43284511904761,176519.44999999998
2024-11-04,Greed,24.35894775,76400.96
2024-11-05,Greed,27.956082444444444,63248.95
2024-11-06,Greed,35.12708789430894,373279.92
2024-11-07,Extreme Greed,98.77958326315789,169887.02
2024-11-08,Extreme Greed,35.32402583333334,44230.21
2024-11-09,Extreme Greed,0.0,0.54
2024-11-10,Extreme Greed,341.74336450000004,488904.19
2024-11-11,Extreme Greed,18.09552545844504,1570572.42
2024-11-12,Extreme Greed,261.30348420720725,2194098.33
2024-12-01,Extreme Greed,-275.0741462857143,200082.27
2024-12-02,Extreme Greed,57.11761168749999,227247.69999999998
2024-12-03,Extreme Greed,379.89575,103040.85
2024-12-04,Extreme Greed,-4.594153790697676,442088.59
2024-12-05,Extreme Greed,0.0,55179.56
2024-12-06,Greed,-86.16744682283463,193407.96
2024-12-07,Extreme Greed,74.33235021052631,89582.97
2024-12-08,Extreme Greed,17.88896875,54167.32
2024-12-10,Extreme Greed,54.155471,159713.4
2024-12-11,Greed,20.435084175438597,1226354.52
2024-12-12,Extreme Greed,310.1199767122153,4557189.87
2025-01-01,Greed,-99.25068067708334,282582.1
2025-01-02,Greed,50.946695610410096,1363746.44
2025-01-03,Greed,60.897177977011495,263824.13
2025-01-04,Greed,-11.472199177083334,704445.1900000001
2025-01-05,Greed,44.338885607317074,10720240.52
2025-02-01,Greed,24.145482235457067,774674.84
2025-02-02,Greed,123.46835452843062,5661092.29
2025-02-03,Fear,125.77879832330827,6460848.74
2025-02-04,Greed,187.930056633829,3867930.6
2025-03-01,Extreme Fear,11.867099986220472,771208.99
2025-03-02,Fear,146.58459086932774,22592901.37
2025-03-03,Fear,415.9332201302294,8244590.38
2025-03-04,Extreme Fear,-1.353524757437071,8670233.15
2025-04-01,Fear,6.882851665768194,1826029.6199999999
2025-04-02,Fear,165.9541752070064,15678409.27
2025-04-03,Fear,75.80165136761032,11124247.15
2025-04-04,Fear,-20.05949602987421,3835545.73
2025-05-01,Neutral,13.337737920502093,451943.57
2025-05-02,Greed,43.721075992289904,8743231.51
